FreeCAD 0.17, Libs: 0.17RUnknown
         16482684 function calls (14940014 primitive calls) in 6.992 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   928488    2.042    0.000    3.557    0.000 geom.py:196(splitPolygon)
  3190327    0.808    0.000    0.808    0.000 geom.py:81(dot)
1450434/5567    0.806    0.000    2.534    0.000 geom.py:344(clipPolygons)
   349739    0.326    0.000    0.440    0.000 geom.py:19(__init__)
  4169694    0.275    0.000    0.275    0.000 {method 'append' of 'list' objects}
   5754/9    0.248    0.000    2.159    0.240 geom.py:390(build)
   935164    0.144    0.000    0.144    0.000 {range}
    15477    0.107    0.000    0.117    0.000 geom.py:100(cross)
1572739/1571403    0.107    0.000    0.115    0.000 {len}
      336    0.091    0.000    0.091    0.000 {imp.find_module}
       91    0.075    0.001    4.025    0.044 __init__.py:1(<module>)
  1456709    0.063    0.000    0.063    0.000 {method 'extend' of 'list' objects}
   255618    0.048    0.000    0.048    0.000 geom.py:107(__getitem__)
    42632    0.046    0.000    0.329    0.000 geom.py:136(__init__)
        1    0.038    0.038    0.208    0.208 GdmlExpressionEval.py:3(<module>)
    33584    0.037    0.000    0.380    0.000 geom.py:140(clone)
209186/209184    0.034    0.000    0.035    0.000 {isinstance}
    75498    0.034    0.000    0.075    0.000 geom.py:43(negated)
    72513    0.032    0.000    0.078    0.000 geom.py:39(clone)
    51558    0.031    0.000    0.064    0.000 geom.py:57(minus)
        3    0.029    0.010    0.738    0.246 Reader.py:1(<module>)
27320/19938    0.027    0.000    0.631    0.000 {map}
7270/6957    0.026    0.000    0.107    0.000 compatibility.py:419(default_sort_key)
      793    0.026    0.000    0.026    0.000 {compile}
    15475    0.025    0.000    0.230    0.000 geom.py:181(fromPoints)
        4    0.022    0.006    0.022    0.006 {built-in method poll}
     7800    0.021    0.000    0.037    0.000 compatibility.py:785(_make_key)
        1    0.018    0.018    0.018    0.018 vtkRenderingKit.py:1(<module>)
       75    0.018    0.000    0.022    0.000 collections.py:305(namedtuple)
    51006    0.018    0.000    0.069    0.000 geom.py:143(flip)
       11    0.017    0.002    0.890    0.081 __init__.py:2(<module>)
      466    0.017    0.000    0.041    0.000 assumptions.py:316(__init__)
     3450    0.016    0.000    0.016    0.000 {posix.lstat}
        1    0.016    0.016    0.016    0.016 vtkCommonKit.py:1(<module>)
        1    0.016    0.016    0.025    0.025 decorator.py:1(<module>)
 1191/280    0.015    0.000    0.043    0.000 sre_parse.py:414(_parse)
        1    0.015    0.015    0.015    0.015 vtkFiltersKit.py:1(<module>)
    51006    0.014    0.000    0.083    0.000 geom.py:292(<lambda>)
17604/15240    0.014    0.000    0.027    0.000 sympify.py:78(sympify)
 7802/134    0.014    0.000    0.223    0.002 compatibility.py:867(wrapper)
    47772    0.013    0.000    0.013    0.000 {getattr}
 10210/11    0.013    0.000    0.155    0.014 geom.py:329(invert)
      283    0.013    0.000    0.013    0.000 {posix.listdir}
    15890    0.012    0.000    0.020    0.000 geom.py:50(plus)
    14281    0.012    0.000    0.129    0.000 geom.py:290(flip)
        1    0.012    0.012    0.014    0.014 urllib.py:23(<module>)
    24491    0.011    0.000    0.034    0.000 geom.py:189(flip)
    22310    0.010    0.000    0.012    0.000 sre_parse.py:194(__next)
    15475    0.010    0.000    0.241    0.000 geom.py:281(__init__)
     1162    0.010    0.000    0.010    0.000 {posix.stat}
    13738    0.010    0.000    0.057    0.000 geom.py:88(lerp)
        1    0.010    0.010    5.364    5.364 Sphere.py:79(pycsgmesh)
        1    0.010    0.010    0.010    0.010 vtkOpenGLKit.py:1(<module>)
        1    0.009    0.009    0.009    0.009 vtkInteractionKit.py:1(<module>)
        1    0.009    0.009    0.017    0.017 graphml.py:45(<module>)
      906    0.009    0.000    0.014    0.000 version.py:131(_legacy_cmpkey)
     7376    0.009    0.000    0.504    0.000 geom.py:286(clone)
    15954    0.009    0.000    0.018    0.000 geom.py:64(times)
    26234    0.008    0.000    0.322    0.000 geom.py:287(<lambda>)
 2327/248    0.008    0.000    0.020    0.000 sre_compile.py:64(_compile)
80241/62707    0.008    0.000    0.012    0.000 {hash}
    85206    0.008    0.000    0.008    0.000 geom.py:115(__len__)
   5567/9    0.008    0.000    2.541    0.282 geom.py:368(clipTo)
    15478    0.008    0.000    0.038    0.000 geom.py:96(unit)
    24207    0.008    0.000    0.008    0.000 {hasattr}
    43798    0.008    0.000    0.010    0.000 numbers.py:2122(__hash__)
    10610    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x10802cb68}
    15479    0.008    0.000    0.014    0.000 geom.py:92(length)
    15478    0.008    0.000    0.016    0.000 geom.py:71(dividedBy)
     1796    0.007    0.000    0.019    0.000 version.py:198(__init__)
     6869    0.007    0.000    0.107    0.000 geom.py:150(interpolate)
      781    0.007    0.000    0.039    0.000 decorator.py:162(make)
     8005    0.007    0.000    0.011    0.000 threading.py:147(acquire)
       82    0.006    0.000    0.007    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     8005    0.006    0.000    0.009    0.000 threading.py:187(release)
    20820    0.006    0.000    0.006    0.000 geom.py:176(__init__)
     7340    0.006    0.000    0.045    0.000 {sorted}
        1    0.006    0.006    0.006    0.006 vtkParallelKit.py:1(<module>)
  323/316    0.006    0.000    0.052    0.000 {__import__}
        6    0.006    0.001    0.247    0.041 __init__.py:10(<module>)
        4    0.006    0.001    1.112    0.278 __init__.py:12(<module>)
        1    0.005    0.005    0.597    0.597 model.py:2(<module>)
      220    0.005    0.000    0.005    0.000 {open}
        4    0.005    0.001    0.143    0.036 __init__.py:4(<module>)
 1798/602    0.005    0.000    0.046    0.000 compatibility.py:600(ordered)
     6308    0.005    0.000    0.087    0.000 {min}
        1    0.005    0.005    0.011    0.011 __init__.py:184(<module>)
    32228    0.005    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     2388    0.005    0.000    0.007    0.000 compatibility.py:357(as_int)
15266/15105    0.005    0.000    0.006    0.000 logic.py:205(__hash__)
        2    0.005    0.002    0.323    0.161 __init__.py:16(<module>)
      211    0.005    0.000    0.005    0.000 {method 'read' of 'file' objects}
        4    0.005    0.001    0.209    0.052 __init__.py:6(<module>)
    19950    0.005    0.000    0.016    0.000 sre_parse.py:213(get)
        1    0.005    0.005    0.015    0.015 interactiveshell.py:2(<module>)
        1    0.005    0.005    0.066    0.066 __init__.py:101(<module>)
    12222    0.005    0.000    0.008    0.000 numbers.py:2076(__eq__)
     5345    0.004    0.000    0.015    0.000 geom.py:186(clone)
 4108/158    0.004    0.000    0.013    0.000 copy.py:145(deepcopy)
        1    0.004    0.004    0.004    0.004 vtkIOKit.py:1(<module>)
      950    0.004    0.000    0.125    0.000 iterables.py:2294(minlex)
      781    0.004    0.000    0.011    0.000 decorator.py:93(__init__)
        8    0.004    0.001    0.365    0.046 __init__.py:3(<module>)
     2040    0.004    0.000    0.024    0.000 core.py:412(appendVertex)
     2593    0.004    0.000    0.004    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    24407    0.004    0.000    0.004    0.000 assumptions.py:234(as_property)
        1    0.004    0.004    0.004    0.004 vtkChartsCore.py:1(<module>)
     1048    0.004    0.000    0.004    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.004    0.004    0.005    0.005 overrides.py:1(<module>)
        1    0.004    0.004    0.004    0.004 vtkViewsInfovis.py:1(<module>)
3285/1244    0.004    0.000    0.005    0.000 sre_parse.py:152(getwidth)
 7800/134    0.004    0.000    0.223    0.002 cache.py:92(wrapper)
        1    0.004    0.004    0.004    0.004 vtkIOExport.py:1(<module>)
        1    0.004    0.004    0.004    0.004 vtkGeovisCore.py:1(<module>)
        1    0.004    0.004    0.005    0.005 cElementTree.py:3(<module>)
        1    0.004    0.004    0.004    0.004 vtkInfovisLayout.py:1(<module>)
     9860    0.004    0.000    0.005    0.000 sre_parse.py:142(__getitem__)
       49    0.004    0.000    0.014    0.000 perm_groups.py:121(__new__)
        1    0.004    0.004    0.004    0.004 vtkIOInfovis.py:1(<module>)
      888    0.003    0.000    0.004    0.000 version.py:343(_cmpkey)
 5345/468    0.003    0.000    1.660    0.004 geom.py:310(__init__)
   5345/6    0.003    0.000    0.005    0.001 geom.py:379(allPolygons)
      781    0.003    0.000    0.056    0.000 decorator.py:197(create)
     1374    0.003    0.000    0.004    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.003    0.003    0.009    0.009 runtests.py:13(<module>)
       83    0.003    0.000    0.004    0.000 {_io.open}
        1    0.003    0.003    0.003    0.003 {FreeCADGui.setupWithoutGUI}
        1    0.003    0.003    0.035    0.035 __init__.py:94(<module>)
     4675    0.003    0.000    0.005    0.000 posixpath.py:61(join)
      363    0.003    0.000    0.027    0.000 posixpath.py:387(_joinrealpath)
4880/4872    0.003    0.000    0.005    0.000 {method 'join' of 'str' objects}
        1    0.003    0.003    0.003    0.003 vtkRenderingGL2PSOpenGL2.py:1(<module>)
     4044    0.003    0.000    0.005    0.000 version.py:114(_parse_version_parts)
     7800    0.003    0.000    0.009    0.000 compatibility.py:778(__init__)
        1    0.003    0.003    0.003    0.003 vtkInfovisCore.py:1(<module>)
1374/1058    0.003    0.000    0.016    0.000 copy.py:306(_reconstruct)
11422/11410    0.003    0.000    0.017    0.000 sympify.py:391(_sympify)
        1    0.003    0.003    0.003    0.003 vtkIOMINC.py:1(<module>)
        1    0.003    0.003    0.003    0.003 vtkFiltersFlowPaths.py:1(<module>)
      883    0.003    0.000    0.005    0.000 sre_compile.py:256(_optimize_charset)
8056/3352    0.003    0.000    0.005    0.000 basic.py:1960(_preorder_traversal)
        1    0.003    0.003    0.006    0.006 traitlets.py:35(<module>)
     1437    0.003    0.000    0.076    0.000 re.py:230(_compile)
    11921    0.003    0.000    0.003    0.000 {method 'get' of 'dictproxy' objects}
     7376    0.003    0.000    0.507    0.000 core.py:76(<lambda>)
        1    0.003    0.003    0.028    0.028 ultratb.py:81(<module>)
        1    0.003    0.003    0.013    0.013 ctx_base.py:1(<module>)
        1    0.003    0.003    0.003    0.003 vtkIOImport.py:1(<module>)
        1    0.003    0.003    0.003    0.003 vtkIOExportOpenGL2.py:1(<module>)
7529/7481    0.003    0.000    0.006    0.000 logic.py:374(__new__)
        1    0.003    0.003    0.003    0.003 vtkIOTecplotTable.py:1(<module>)
        3    0.003    0.001    0.013    0.004 __init__.py:5(<module>)
        1    0.003    0.003    0.004    0.004 __init__.py:635(<module>)
        2    0.003    0.001    0.020    0.010 utils.py:5(<module>)
        1    0.003    0.003    0.004    0.004 subprocess.py:31(<module>)
    14312    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        2    0.003    0.001    5.440    2.720 Mesh.py:10(__init__)
        1    0.003    0.003    0.060    0.060 __init__.py:106(<module>)
     3450    0.002    0.000    0.020    0.000 posixpath.py:132(islink)
        8    0.002    0.000    0.002    0.000 {posix.read}
     4202    0.002    0.000    0.009    0.000 facts.py:208(<genexpr>)
        1    0.002    0.002    0.014    0.014 oinspect.py:8(<module>)
        1    0.002    0.002    0.002    0.002 vtkViewsKit.py:1(<module>)
        1    0.002    0.002    0.017    0.017 fontconfig_pattern.py:7(<module>)
  837/250    0.002    0.000    0.044    0.000 sre_parse.py:336(_parse_sub)
     6168    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        1    0.002    0.002    0.007    0.007 facts.py:78(transitive_closure)
        1    0.002    0.002    0.002    0.002 hashlib.py:56(<module>)
        1    0.002    0.002    0.002    0.002 vtkImagingKit.py:1(<module>)
     4742    0.002    0.000    0.005    0.000 conflict.py:7(supercedes)
     7959    0.002    0.000    0.011    0.000 threading.py:215(__exit__)
        2    0.002    0.001    0.002    0.001 {_posixsubprocess32.fork_exec}
      683    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      781    0.002    0.000    0.004    0.000 decorator.py:145(update)
        3    0.002    0.001    0.029    0.010 __init__.py:15(<module>)
      451    0.002    0.000    0.037    0.000 decorator.py:225(decorate)
        1    0.002    0.002    0.002    0.002 __init__.py:86(<module>)
        3    0.002    0.001    0.012    0.004 __init__.py:7(<module>)
     7988    0.002    0.000    0.002    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.002    0.002    0.007    0.007 polyclasses.py:1(<module>)
        1    0.002    0.002    0.002    0.002 shutil.py:5(<module>)
    16407    0.002    0.000    0.002    0.000 compatibility.py:797(<genexpr>)
        1    0.002    0.002    0.006    0.006 <string>:52(InitApplications)
      705    0.002    0.000    0.003    0.000 inspect.py:750(getargs)
      128    0.002    0.000    0.003    0.000 textwrap.py:243(_wrap_chunks)
        1    0.002    0.002    0.112    0.112 embed.py:4(<module>)
     3700    0.002    0.000    0.013    0.000 numbers.py:2095(__lt__)
        1    0.002    0.002    0.010    0.010 __init__.py:220(<module>)
        1    0.002    0.002    0.046    0.046 application.py:10(<module>)
        1    0.002    0.002    0.002    0.002 socket.py:45(<module>)
      995    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
        1    0.002    0.002    0.497    0.497 __init__.py:54(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:151(<module>)
     8428    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        1    0.002    0.002    0.003    0.003 collections.py:11(<module>)
        1    0.002    0.002    0.002    0.002 vtkWrappingKit.py:1(<module>)
     3928    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
    16011    0.002    0.000    0.002    0.000 threading.py:64(_note)
        1    0.002    0.002    0.012    0.012 pty_spawn.py:1(<module>)
        1    0.002    0.002    0.003    0.003 loader.py:2(<module>)
        4    0.002    0.000    0.008    0.002 ATNDeserializer.py:198(readEdges)
        1    0.002    0.002    0.007    0.007 debugger.py:17(<module>)
      426    0.002    0.000    0.032    0.000 decorator.py:259(decorator)
        1    0.002    0.002    0.009    0.009 ptyprocess.py:1(<module>)
     8645    0.002    0.000    0.002    0.000 {setattr}
    22999    0.002    0.000    0.002    0.000 permutations.py:1550(__iter__)
        1    0.002    0.002    0.020    0.020 rcsetup.py:15(<module>)
     3352    0.002    0.000    0.010    0.000 basic.py:1524(<genexpr>)
    13928    0.002    0.000    0.002    0.000 compatibility.py:799(<genexpr>)
     4633    0.002    0.000    0.011    0.000 {any}
        1    0.002    0.002    0.499    0.499 geometry.py:5(<module>)
      656    0.002    0.000    0.070    0.000 __init__.py:2115(distributions_from_metadata)
        1    0.002    0.002    0.011    0.011 facts.py:138(apply_beta_to_alpha_route)
        1    0.002    0.002    0.010    0.010 complexes.py:1(<module>)
        1    0.002    0.002    0.004    0.004 __init__.py:88(<module>)
     3418    0.002    0.000    0.003    0.000 __init__.py:2060(dist_factory)
      328    0.002    0.000    0.054    0.000 __init__.py:2569(from_location)
     1904    0.002    0.000    0.004    0.000 conflict.py:12(consistent)
     3420    0.002    0.000    0.002    0.000 version.py:207(<genexpr>)
        1    0.002    0.002    0.017    0.017 distance.py:73(<module>)
        1    0.002    0.002    0.004    0.004 numeric.py:1(<module>)
        1    0.002    0.002    0.021    0.021 application.py:1(<module>)
        1    0.001    0.001    0.323    0.323 nx_pydot.py:15(<module>)
        1    0.001    0.001    0.048    0.048 expr.py:1(<module>)
        1    0.001    0.001    0.002    0.002 linalg.py:10(<module>)
        1    0.001    0.001    0.002    0.002 matfuncs.py:5(<module>)
        1    0.001    0.001    0.026    0.026 magic.py:3(<module>)
     1204    0.001    0.000    0.034    0.000 __init__.py:2756(_get_metadata)
        1    0.001    0.001    0.002    0.002 pdb.py:3(<module>)
    15480    0.001    0.000    0.001    0.000 {math.sqrt}
        1    0.001    0.001    0.017    0.017 pyparsing.py:75(<module>)
      205    0.001    0.000    0.002    0.000 ATNDeserializer.py:465(<lambda>)
        1    0.001    0.001    0.031    0.031 interactiveshell.py:1(<module>)
      883    0.001    0.000    0.007    0.000 sre_compile.py:228(_compile_charset)
     1220    0.001    0.000    0.023    0.000 version.py:24(parse)
        2    0.001    0.001    0.006    0.003 __init__.py:45(<module>)
        1    0.001    0.001    0.151    0.151 LogicalVolume.py:1(<module>)
      391    0.001    0.000    0.002    0.000 posixpath.py:336(normpath)
     3442    0.001    0.000    0.002    0.000 copy.py:267(_keep_alive)
        1    0.001    0.001    0.047    0.047 polytools.py:1(<module>)
        2    0.001    0.001    0.001    0.001 {method 'readlines' of 'file' objects}
